target,best_state,best_Rdep,cs_spread,cs_rel_drop,cs_flag,n_slices_ident,Rdep_overall,Rdep_Rest,Rdep_Stim8hr,Rdep_Stim48hr
PRMT5,Stim8hr,0.1664,0.0855,0.5135,True,3,0.2461,0.081,0.1664,0.106
H1-4,Stim48hr,0.0956,0.0854,0.8939,False,3,0.0844,0.0454,0.0101,0.0956
SNAPC3,Stim48hr,0.154,0.0854,0.5544,True,3,0.2388,0.0686,0.1126,0.154
TRIP10,Stim8hr,0.0981,0.0853,0.8699,False,3,0.1557,0.0835,0.0981,0.0128
STAT5B,Stim8hr,0.1358,0.0852,0.6275,False,3,0.1725,0.0506,0.1358,0.0792
CELSR2,Rest,0.0983,0.0852,0.8663,False,2,0.0982,0.0983,NA,0.0131
HSF1,Stim8hr,0.1291,0.0851,0.6593,False,3,0.1719,0.044,0.1291,0.062
AIF1,Rest,0.102,0.085,0.8334,False,2,0.0283,0.102,NA,0.017
SLC4A1AP,Rest,0.1575,0.085,0.5399,True,3,0.192,0.1575,0.1123,0.0725
HNRNPM,Rest,0.1309,0.085,0.6496,False,3,0.168,0.1309,0.0573,0.0459
TAF6L,Rest,0.1443,0.085,0.5888,False,3,0.1133,0.1443,0.0836,0.0593
KDM5C,Stim48hr,0.1387,0.085,0.6124,False,3,0.1492,0.0538,0.0738,0.1387
NEUROD2,Stim48hr,0.1117,0.0848,0.7589,False,3,0.1015,0.0586,0.0269,0.1117
ARPP19,Stim48hr,0.0867,0.0845,0.9742,False,3,0.1286,0.0022,0.0367,0.0867
SDF2,Stim8hr,0.1212,0.0842,0.6947,False,3,0.2219,0.121,0.1212,0.037
PPP1R2,Rest,0.1215,0.084,0.691,False,3,0.1118,0.1215,0.0603,0.0376
NOL9,Rest,0.1558,0.0839,0.5385,True,3,0.2346,0.1558,0.0719,0.0944
ORC3,Stim48hr,0.1018,0.0836,0.8207,False,3,0.1908,0.0183,0.089,0.1018
SHLD2,Stim48hr,0.0906,0.0833,0.9194,False,2,0.0705,NA,0.0073,0.0906
CCND2,Stim8hr,0.1053,0.0833,0.7911,False,3,0.116,0.0824,0.1053,0.022
C8orf82,Stim8hr,0.0924,0.083,0.8991,False,3,0.125,0.0415,0.0924,0.0093
VAMP4,Stim48hr,0.084,0.083,0.988,False,2,NA,0.001,NA,0.084
PPP2R1A,Stim8hr,0.1438,0.083,0.5772,False,3,0.2039,0.0608,0.1438,0.0982
COG6,Stim48hr,0.1236,0.0829,0.6711,False,3,0.1376,0.0418,0.0406,0.1236
SMARCB1,Stim48hr,0.1026,0.0827,0.8059,False,3,0.1221,0.0199,0.0895,0.1026
ADAT3,Rest,0.1446,0.0825,0.5704,False,3,0.1695,0.1446,0.115,0.0621
PTPN23,Stim8hr,0.1066,0.0823,0.7721,False,3,0.1833,0.0243,0.1066,0.088
STK3,Rest,0.1143,0.0821,0.7188,False,3,0.1748,0.1143,0.0716,0.0321
EXOC8,Stim8hr,0.1191,0.082,0.6879,False,3,0.1743,0.0372,0.1191,0.0524
GARS1,Stim8hr,0.1243,0.0819,0.6593,False,3,0.1973,0.063,0.1243,0.0423
PNRC2,Rest,0.1476,0.0819,0.5546,False,3,0.1759,0.1476,0.1,0.0657
NCAPD2,Rest,0.1222,0.0818,0.6698,False,3,0.1653,0.1222,0.0478,0.0403
PIAS3,Rest,0.104,0.0817,0.7859,False,3,0.1668,0.104,0.0223,0.0964
NOPCHAP1,Stim8hr,0.1236,0.0816,0.6605,False,3,0.149,0.042,0.1236,0.0433
RPS21,Stim8hr,0.1681,0.0814,0.484,False,2,0.2596,0.0868,0.1681,NA
GATA3,Stim8hr,0.1089,0.0813,0.7466,False,3,0.0583,0.0276,0.1089,0.0308
CSTF1,Stim8hr,0.0966,0.0813,0.8416,False,3,0.1389,0.0506,0.0966,0.0153
LYRM4,Stim8hr,0.1126,0.0812,0.7212,False,3,0.1463,0.0367,0.1126,0.0314
PAM16,Stim8hr,0.1736,0.081,0.4663,False,3,0.2783,0.0927,0.1736,0.1404
TMEM238,Rest,0.1811,0.0807,0.446,False,3,0.2774,0.1811,0.1392,0.1003
CPSF6,Stim8hr,0.1629,0.0807,0.4954,False,3,0.1669,0.0822,0.1629,0.0835
MYB,Rest,0.0851,0.0805,0.9463,False,3,0.0506,0.0851,0.0046,0.029
TRAF3,Stim8hr,0.2281,0.0804,0.3527,False,3,0.2745,0.2184,0.2281,0.1476
CSTF3,Rest,0.1309,0.0804,0.6143,False,2,0.1609,0.1309,0.0505,NA
ISCA2,Stim48hr,0.1031,0.0804,0.7794,False,3,0.1009,0.0227,0.0595,0.1031
TFPT,Stim8hr,0.1296,0.0801,0.6182,False,3,0.2085,0.0495,0.1296,0.0872
PYROXD1,Stim48hr,0.0803,0.08,0.9965,False,2,0.0982,0.0003,NA,0.0803
DDX24,Stim8hr,0.163,0.08,0.4906,False,2,0.2051,NA,0.163,0.0831
ZBTB4,Stim8hr,0.1169,0.0798,0.683,False,3,0.202,0.0371,0.1169,0.0787
SETDB1,Rest,0.2336,0.0798,0.3414,False,3,0.2807,0.2336,0.1539,0.1785
ASXL2,Stim48hr,0.1119,0.0796,0.7117,False,3,0.0837,0.0323,0.0467,0.1119
