"gene","s2_T","s2_TG","s2_TD","s2_res","share_T","share_TG","share_TD","share_res"
"ENSG00000138468",0.0382078584312836,0.0631285390452151,0.0474634089725994,0.758411942607889,0.0421157006299789,0.069585230913108,0.052317894936806,0.835981173520107
"ENSG00000138472",1.86037465744749e-13,0,1.15623505606767e-06,0.000240188753054793,7.70836250040084e-10,0,0.00479079787082754,0.995209201358336
"ENSG00000138483",0,0,0,0.000312190717079772,0,0,0,1
"ENSG00000138495",0.0243079038835455,0.0325836160689591,0.0303812121688449,0.466773931851164,0.0438733873231144,0.0588102378152315,0.0548351143403909,0.842481260521263
"ENSG00000138496",0.0125518120692267,0.02523891174383,0.0267180064272978,0.478714880300632,0.0231061607516039,0.0464613673891954,0.0491841773973885,0.881248294461812
"ENSG00000138587",4.52518948812293e-05,0.00277213318270757,0.0037952444986003,0.169547256550389,0.00025687967832083,0.0157364610278851,0.0215443173928557,0.962462341900938
"ENSG00000138592",0.0154145526138883,0.0315882611653179,0.0305501146518278,0.496002927824415,0.026875416658675,0.0550744287950382,0.0532644106387112,0.864785743907576
"ENSG00000138593",0.0160508454595737,0.0372800578368856,0.0295663896946599,0.557090623948165,0.0250799195340066,0.0582511901399263,0.0461983561128152,0.870470534213252
"ENSG00000138594",0.0127772441166044,0.0163578261094202,0.0207147443122656,0.375166072775757,0.0300629799920001,0.0384875638715436,0.0487387529044515,0.882710703232005
"ENSG00000138600",0.00647388215363841,0.0107955052003,0.0133482575550338,0.295456740136228,0.0198540040265383,0.0331074923251134,0.0409362346974401,0.906102268950908
"ENSG00000138604",0.0300491745902501,0.0641730970416395,0.0552508330577313,0.78115134266237,0.0322892598359653,0.0689570290402733,0.059369634243913,0.839384076879849
"ENSG00000138606",0.00457232051201073,0.034442004296498,0.0342598077740964,0.746607238758064,0.00557680741609494,0.0420085215988973,0.0417862985691147,0.910628372415893
"ENSG00000138613",0.0272975057041389,0.0627255383549473,0.0550071527244423,0.821075273318666,0.028255202510396,0.0649261807288102,0.0569370057687632,0.84988161099203
"ENSG00000138614",0.0461144063323173,0.0564758608349927,0.0494492818512148,0.630875015766546,0.0589009432274093,0.0721354070740742,0.0631605082794568,0.80580314141906
"ENSG00000138615",1.06587630618752e-05,7.3827204931696e-05,0,0.0352700479446127,0.000301482211255362,0.00208819624419859,0,0.997610321544546
"ENSG00000138617",0.0573022853475246,0.0802668657649821,0.0688942962243003,0.743329258951425,0.0603313596410533,0.0845098780329269,0.0725361394840961,0.782622622841924
"ENSG00000138621",0.055053894575091,0.0750739380840682,0.0700621845654665,0.719503685992097,0.0598611193950055,0.081629283555481,0.0761799111165129,0.782329685933001
"ENSG00000138622",0,2.01947422180669e-06,0,0.00155014622436507,0,0.00130106870912382,0,0.998698931290876
"ENSG00000138623",0.0388396423310426,0.0898522775190661,0.0852991639662327,0.924127426505097,0.0341261845570662,0.07894808555015,0.0749475236477278,0.811978206245056
"ENSG00000138629",0.0265054934851992,0.0319655404715921,0.031120547761121,0.470661100109154,0.0473098913132569,0.0570555777927698,0.0555473427804617,0.840087188113512
"ENSG00000138639",0,1.26449996654006e-12,0,0.00205887843511704,0,6.14169318691005e-10,0,0.999999999385831
"ENSG00000138640",0.0280686783776171,0.0630330797754281,0.0533147998580819,0.828490735494905,0.0288503113965432,0.0647883721256503,0.0547994656982714,0.851561850779535
"ENSG00000138641",0.0349147828168704,0.061531792336494,0.0487564939577853,0.707455811735842,0.0409481254475268,0.0721646061733048,0.0571817112950877,0.829705557084081
"ENSG00000138642",0.0414084478956851,0.0633818326564437,0.0504519889369841,0.742062390799373,0.0461475903650964,0.0706358001484872,0.0562261527993889,0.826990456687028
