target,view,n_guides,n_donors,E_t,R_guide,R_donor_shrunk,R_dep,S_t
NPC1,Rest,2,4,0.3639,0.0683,0.078,0.0378,0.0138
BBC3,Rest,2,4,0.1589,0.2032,0.1309,0.0865,0.0137
ITFG2,Rest,2,4,0.5641,0.0342,0.078,0.0244,0.0137
ZDHHC18,Rest,2,4,0.1646,0.1852,0.1319,0.0835,0.0137
HLA-DOA,Rest,2,4,0.1601,0.2249,0.1218,0.0858,0.0137
CNTRL,Rest,2,4,0.3055,0.1276,0.0649,0.045,0.0137
OST4,Rest,2,4,0.1606,0.1739,0.1437,0.0854,0.0137
EML4,Rest,2,4,0.1642,0.2047,0.1236,0.0835,0.0137
ZNF419,Rest,2,4,0.1467,0.2265,0.1371,0.0934,0.0137
MB21D2,Rest,2,4,0.1672,0.1626,0.1418,0.082,0.0137
ZNF470,Rest,2,4,0.4091,0.1307,0.0431,0.0335,0.0137
MPIG6B,Rest,2,4,0.1627,0.1582,0.1525,0.0842,0.0137
ZNF317,Rest,2,4,0.1603,0.1751,0.143,0.0854,0.0137
UEVLD,Rest,2,4,0.1543,0.2147,0.1313,0.0887,0.0137
DRGX,Rest,2,4,0.1537,0.1951,0.1407,0.089,0.0137
MAN2C1,Rest,2,4,0.1532,0.1903,0.1437,0.0892,0.0137
PFDN6,Rest,2,4,0.4052,0.0451,0.118,0.0337,0.0137
MCRIP2,Rest,2,4,0.6428,0.0742,0.0289,0.0212,0.0137
TP63,Rest,2,4,0.3143,0.076,0.0921,0.0434,0.0137
E2F6,Rest,2,4,0.4449,0.06,0.059,0.0307,0.0136
CDO1,Rest,2,4,0.1478,0.2127,0.1401,0.0923,0.0136
CYTH1,Rest,2,4,0.1489,0.235,0.1304,0.0915,0.0136
ONECUT1,Rest,2,4,0.1558,0.2269,0.1246,0.0875,0.0136
HOXC11,Rest,2,4,0.1522,0.2183,0.1317,0.0895,0.0136
TERB1,Rest,2,4,0.1542,0.2303,0.1254,0.0884,0.0136
ZFYVE28,Rest,2,4,0.1593,0.2042,0.1282,0.0855,0.0136
ENKD1,Rest,2,4,0.155,0.2046,0.1333,0.0878,0.0136
PRCC,Rest,2,4,0.295,0.1115,0.0729,0.0461,0.0136
DEFA6,Rest,2,4,0.1701,0.2166,0.1126,0.08,0.0136
CISD1,Rest,2,4,0.1698,0.1994,0.1181,0.0801,0.0136
RSAD1,Rest,2,4,0.7925,0.054,0.0245,0.0172,0.0136
DAAM1,Rest,2,4,0.1602,0.1882,0.134,0.0849,0.0136
PAXIP1,Rest,2,4,0.2332,0.1348,0.0931,0.0583,0.0136
TRUB2,Rest,2,4,0.1543,0.2135,0.1304,0.0881,0.0136
GAS8,Rest,2,4,0.1575,0.2355,0.1197,0.0862,0.0136
WDR47,Rest,2,4,0.3696,0.064,0.0793,0.0367,0.0136
FGD1,Rest,2,4,0.151,0.2126,0.1347,0.0898,0.0136
MZT2A,Rest,2,4,0.1549,0.1835,0.1434,0.0876,0.0136
STK10,Rest,2,4,0.1937,0.1754,0.1042,0.0699,0.0135
ORMDL2,Rest,2,4,0.3415,0.0822,0.0712,0.0397,0.0135
PPIL3,Rest,2,4,0.1572,0.2234,0.123,0.0861,0.0135
FIG4,Rest,2,4,0.1637,0.2088,0.1204,0.0827,0.0135
USP15,Rest,2,4,0.1881,0.1558,0.1179,0.0719,0.0135
FAF1,Rest,2,4,0.1547,0.2489,0.1188,0.0874,0.0135
ARHGAP33,Rest,2,4,0.1691,0.1514,0.1449,0.0799,0.0135
MLH3,Rest,2,4,0.1478,0.25,0.126,0.0914,0.0135
FBXO43,Rest,2,4,0.1565,0.237,0.1196,0.0863,0.0135
MPND,Rest,2,4,0.526,0.0341,0.0938,0.0257,0.0135
ZXDA,Rest,2,4,0.1499,0.2641,0.12,0.0899,0.0135
SLC25A34,Rest,2,4,0.1558,0.2256,0.123,0.0865,0.0135
TLCD5,Rest,2,4,0.1561,0.2243,0.123,0.0863,0.0135
WDR53,Rest,2,4,0.155,0.2561,0.1162,0.0869,0.0135
DNAJB9,Rest,2,4,0.161,0.2501,0.1115,0.0835,0.0135
ADCY7,Rest,2,4,0.1542,0.2198,0.1263,0.0872,0.0134
CEP290,Rest,2,4,0.1561,0.2264,0.122,0.0861,0.0134
MORN3,Rest,2,4,0.1569,0.1813,0.1395,0.0856,0.0134
UBA6,Rest,2,4,0.173,0.1854,0.1178,0.0776,0.0134
SLC25A11,Rest,2,4,0.1632,0.2145,0.1177,0.0823,0.0134
DAZAP1,Rest,2,4,0.5826,0.0366,0.0586,0.023,0.0134
USP21,Rest,2,4,0.1519,0.1932,0.1401,0.0884,0.0134
HHLA2,Rest,2,4,0.1498,0.2387,0.1255,0.0896,0.0134
KLF15,Rest,2,4,0.2484,0.1018,0.1033,0.054,0.0134
CCNI2,Rest,2,4,0.1506,0.1937,0.1416,0.0891,0.0134
ETNK1,Rest,2,4,0.1897,0.1632,0.1109,0.0707,0.0134
STING1,Rest,2,4,0.1614,0.224,0.1166,0.0831,0.0134
DDX55,Rest,2,4,0.7793,0.0278,0.0432,0.0172,0.0134
PTPN2,Rest,2,4,0.2313,0.1122,0.1071,0.058,0.0134
TBX21,Rest,2,4,0.2836,0.0901,0.0904,0.0473,0.0134
SDHAF1,Rest,2,4,0.1623,0.2437,0.111,0.0826,0.0134
PRPSAP1,Rest,2,4,0.1596,0.2267,0.1177,0.084,0.0134
ZMAT3,Rest,2,4,0.1668,0.1716,0.1312,0.0803,0.0134
DMAC2,Rest,2,4,0.3737,0.0832,0.0592,0.0358,0.0134
GALK2,Rest,2,4,0.1643,0.2443,0.1088,0.0814,0.0134
USB1,Rest,2,4,0.1706,0.1992,0.1145,0.0784,0.0134
MBTPS1,Rest,2,4,0.3882,0.0868,0.054,0.0345,0.0134
HAND2,Rest,2,4,0.1631,0.206,0.1199,0.082,0.0134
ARFIP1,Rest,2,4,0.1542,0.2179,0.1256,0.0866,0.0133
GNG8,Rest,2,4,0.1534,0.2316,0.1223,0.087,0.0133
NIPSNAP1,Rest,2,4,0.1532,0.1959,0.1356,0.0871,0.0133
WDR4,Rest,2,4,0.7325,0.0197,0.1907,0.0182,0.0133
NPTX1,Rest,2,4,0.1574,0.2223,0.1201,0.0846,0.0133
IER5,Rest,2,4,0.1501,0.2349,0.1247,0.0887,0.0133
ASCL2,Rest,2,4,0.1552,0.2117,0.126,0.0858,0.0133
SLC4A4,Rest,2,4,0.1609,0.2171,0.1179,0.0827,0.0133
PIGB,Rest,2,4,0.1562,0.1709,0.1451,0.0852,0.0133
UBAP2L,Rest,2,4,0.1723,0.1724,0.1226,0.0772,0.0133
PSD,Rest,2,4,0.1678,0.1556,0.139,0.0792,0.0133
MAN1C1,Rest,2,4,0.1604,0.1673,0.1409,0.0828,0.0133
BCL9,Rest,2,4,0.1577,0.1843,0.1343,0.0842,0.0133
GFPT2,Rest,2,4,0.1496,0.1925,0.1415,0.0888,0.0133
EI24,Rest,2,4,0.3365,0.095,0.0631,0.0394,0.0133
YEATS2,Rest,2,4,0.387,0.0563,0.0804,0.0342,0.0133
DOP1A,Rest,2,4,0.2201,0.1339,0.0986,0.0602,0.0132
STUB1,Rest,2,4,0.425,0.1508,0.0378,0.0312,0.0132
RGS14,Rest,2,4,0.1556,0.2098,0.1253,0.0851,0.0132
APEX1,Rest,2,4,0.1668,0.1845,0.1224,0.0794,0.0132
DTX3L,Rest,2,4,0.166,0.1844,0.1231,0.0797,0.0132
CHST14,Rest,2,4,0.6599,0.0266,0.0751,0.0201,0.0132
GGCT,Rest,2,4,0.4507,0.0432,0.0839,0.0294,0.0132
GLRX5,Rest,2,4,0.1573,0.2356,0.1157,0.0841,0.0132
UBE2K,Rest,2,4,0.163,0.1996,0.1202,0.0811,0.0132
BST1,Rest,2,4,0.1502,0.2338,0.1235,0.0879,0.0132
OXR1,Rest,2,4,0.1591,0.1861,0.1304,0.083,0.0132
EIF1,Rest,2,4,0.1959,0.1897,0.0947,0.0674,0.0132
IDS,Rest,2,4,0.153,0.2089,0.1282,0.0863,0.0132
RAB11FIP2,Rest,2,4,0.2533,0.1336,0.0786,0.0521,0.0132
PCNX4,Rest,2,4,0.1733,0.1678,0.1222,0.0761,0.0132
MED16,Rest,2,4,0.5146,0.0465,0.0538,0.0256,0.0132
TMED2,Rest,2,4,0.1968,0.1568,0.1045,0.0669,0.0132
NAXE,Rest,2,4,0.1542,0.2365,0.1178,0.0853,0.0132
CBFA2T2,Rest,2,4,0.1844,0.1595,0.1144,0.0714,0.0132
TNFAIP8L2,Rest,2,4,0.1681,0.1488,0.1417,0.0783,0.0132
TMEM167A,Rest,2,4,0.1729,0.1626,0.1251,0.0761,0.0132
SCPEP1,Rest,2,4,0.1592,0.2024,0.1226,0.0827,0.0132
ANKEF1,Rest,2,4,0.1601,0.2095,0.1191,0.0822,0.0132
TOP2B,Rest,2,4,0.1625,0.2181,0.1141,0.081,0.0132
ARRDC2,Rest,2,4,0.1594,0.2087,0.12,0.0825,0.0131
RAF1,Rest,2,4,0.2271,0.1488,0.0865,0.0579,0.0131
LPAR3,Rest,2,4,0.1569,0.2052,0.124,0.0838,0.0131
SMIM11,Rest,2,4,0.1488,0.2031,0.1352,0.0883,0.0131
FOSB,Rest,2,4,0.3181,0.1045,0.0639,0.0413,0.0131
SP8,Rest,2,4,0.1687,0.2141,0.109,0.0779,0.0131
CD244,Rest,2,4,0.1566,0.1747,0.1389,0.0839,0.0131
EPSTI1,Rest,2,4,0.1529,0.2165,0.1246,0.0859,0.0131
SIT1,Rest,2,4,0.162,0.2431,0.1082,0.0809,0.0131
ZFP28,Rest,2,4,0.1639,0.2021,0.1169,0.08,0.0131
HOXA10,Rest,2,4,0.3405,0.076,0.0723,0.0385,0.0131
LRRC8B,Rest,2,4,0.1747,0.1585,0.1247,0.075,0.0131
IDH3G,Rest,2,4,0.1436,0.2266,0.1325,0.0912,0.0131
ANGPTL6,Rest,2,4,0.1548,0.2341,0.1169,0.0846,0.0131
FAM76A,Rest,2,4,0.1567,0.2222,0.1181,0.0835,0.0131
SLC43A2,Rest,2,4,0.1703,0.1942,0.1127,0.0768,0.0131
NR5A1,Rest,2,4,0.3445,0.1442,0.049,0.038,0.0131
C10orf95,Rest,2,4,0.1612,0.1721,0.1332,0.0812,0.0131
ELP3,Rest,2,4,0.2354,0.175,0.0753,0.0556,0.0131
C2orf74,Rest,2,4,0.156,0.2209,0.1189,0.0838,0.0131
FNBP4,Rest,2,4,0.2294,0.136,0.0893,0.057,0.0131
LASP1,Rest,2,4,0.1574,0.209,0.121,0.083,0.0131
UBE3A,Rest,2,4,0.1653,0.1681,0.1298,0.079,0.0131
ZNF878,Rest,2,4,0.1589,0.1674,0.1391,0.0822,0.0131
SLC25A14,Rest,2,4,0.1584,0.1465,0.1584,0.0824,0.0131
DUSP1,Rest,2,4,0.1509,0.2192,0.1247,0.0864,0.013
ACTR3B,Rest,2,3,0.4114,0.0539,0.0713,0.0317,0.013
DCP1B,Rest,2,4,0.1629,0.1903,0.1212,0.0799,0.013
NIBAN1,Rest,2,4,0.1602,0.1906,0.1241,0.0813,0.013
TAF4B,Rest,2,3,0.3375,0.0948,0.061,0.0385,0.013
SLC12A6,Rest,2,4,0.1556,0.1966,0.127,0.0836,0.013
NOL6,Rest,2,2,0.642,0.0344,0.0469,0.0202,0.013
ZNF620,Rest,2,4,0.145,0.2137,0.1337,0.0896,0.013
FBXL5,Rest,2,4,0.3934,0.0792,0.0536,0.033,0.013
TET2,Rest,2,4,0.1782,0.1833,0.1078,0.0728,0.013
PDK3,Rest,2,4,0.1628,0.1973,0.1179,0.0797,0.013
PQBP1,Rest,2,4,0.4237,0.0498,0.0735,0.0306,0.013
SMIM10L1,Rest,2,4,0.1562,0.1886,0.129,0.0829,0.013
FARP2,Rest,2,4,0.1555,0.2158,0.1194,0.0833,0.013
RBM7,Rest,2,4,0.3812,0.0493,0.0986,0.034,0.013
C1D,Rest,2,4,0.2444,0.1233,0.085,0.053,0.013
NATD1,Rest,2,4,0.1553,0.2117,0.121,0.0834,0.0129
GMFG,Rest,2,4,0.1675,0.2005,0.1117,0.0772,0.0129
CFAP20,Rest,2,4,0.2499,0.1162,0.0855,0.0518,0.0129
TUSC2,Rest,2,4,0.1495,0.1692,0.1504,0.0865,0.0129
TPT1,Rest,2,4,0.2546,0.1154,0.0832,0.0508,0.0129
C5AR1,Rest,2,4,0.1674,0.1701,0.124,0.0773,0.0129
HCCS,Rest,2,4,0.3339,0.068,0.0824,0.0387,0.0129
TSPAN32,Rest,2,4,0.1472,0.2043,0.1334,0.0878,0.0129
FOSL1,Rest,2,4,0.317,0.0696,0.0896,0.0408,0.0129
ADAMTS6,Rest,2,4,0.1574,0.1482,0.1552,0.082,0.0129
ANKRD36B,Rest,2,4,0.1513,0.2065,0.1269,0.0853,0.0129
SFR1,Rest,2,4,0.4904,0.1233,0.0324,0.0263,0.0129
USP40,Rest,2,4,0.1809,0.1616,0.1132,0.0713,0.0129
RAX2,Rest,2,4,0.156,0.2352,0.1131,0.0827,0.0129
FAM200A,Rest,2,4,0.1548,0.2017,0.1241,0.0832,0.0129
DNAJB12,Rest,2,4,0.1591,0.208,0.117,0.081,0.0129
CSNK2A1,Rest,2,4,0.1758,0.1525,0.1236,0.0733,0.0129
ARHGAP17,Rest,2,4,0.1519,0.1803,0.138,0.0848,0.0129
CPTP,Rest,2,3,0.3555,0.0851,0.0593,0.0362,0.0129
PPRC1,Rest,2,4,0.4281,0.0415,0.0983,0.0301,0.0129
GRAMD2B,Rest,2,4,0.1546,0.2191,0.1183,0.0832,0.0129
MTMR8,Rest,2,4,0.162,0.1704,0.1295,0.0794,0.0129
SIRT6,Rest,2,4,0.1609,0.1666,0.1332,0.0799,0.0129
ZNF430,Rest,2,4,0.1547,0.2264,0.1161,0.0831,0.0129
LHPP,Rest,2,4,0.169,0.1652,0.1236,0.0761,0.0129
CTTN,Rest,2,4,0.167,0.2117,0.1079,0.077,0.0129
INSR,Rest,2,4,0.2066,0.1323,0.105,0.0622,0.0129
SMAD4,Rest,2,4,0.1724,0.1561,0.1249,0.0745,0.0129
LRTOMT,Rest,2,4,0.1521,0.2079,0.1245,0.0844,0.0128
PMEPA1,Rest,2,4,0.1602,0.1759,0.1285,0.0802,0.0128
NT5DC1,Rest,2,4,0.1532,0.1966,0.1275,0.0838,0.0128
WDR54,Rest,2,4,0.1559,0.2498,0.1094,0.0824,0.0128
CYTIP,Rest,2,4,0.1523,0.2252,0.1188,0.0843,0.0128
PPCDC,Rest,2,4,0.1903,0.1663,0.1019,0.0674,0.0128
DDX43,Rest,2,4,0.1578,0.2153,0.1155,0.0813,0.0128
HEATR5A,Rest,2,4,0.159,0.2011,0.1186,0.0806,0.0128
ACCS,Rest,2,4,0.1566,0.2093,0.1186,0.0819,0.0128
KLHDC10,Rest,2,4,0.1608,0.1772,0.1266,0.0797,0.0128
ZNF74,Rest,2,4,0.1576,0.1948,0.1224,0.0813,0.0128
TIPARP,Rest,2,4,0.2331,0.1261,0.0887,0.0549,0.0128
HLA-DRA,Rest,2,4,0.1505,0.2286,0.1193,0.0851,0.0128
SH2D4A,Rest,2,4,0.1543,0.1704,0.1392,0.083,0.0128
CCR5,Rest,2,4,0.1513,0.2616,0.111,0.0845,0.0128
MFF,Rest,2,4,0.1603,0.1861,0.1225,0.0798,0.0128
PDSS2,Rest,2,4,0.3702,0.0764,0.0593,0.0345,0.0128
ZFP57,Rest,2,4,0.1546,0.2242,0.1157,0.0826,0.0128
MRC2,Rest,2,4,0.1724,0.1316,0.1448,0.074,0.0128
XPR1,Rest,2,4,0.1749,0.2101,0.1005,0.0729,0.0128
TMEM168,Rest,2,4,0.1582,0.1938,0.1214,0.0807,0.0128
NOL3,Rest,2,4,0.3912,0.0724,0.056,0.0326,0.0128
CCDC90B,Rest,2,4,0.1561,0.1934,0.1239,0.0817,0.0128
KCTD21,Rest,2,4,0.1743,0.1471,0.1271,0.0732,0.0128
ZNF316,Rest,2,4,0.151,0.2647,0.1103,0.0844,0.0127
CLEC16A,Rest,2,4,0.1688,0.1626,0.1235,0.0755,0.0127
INTS9,Rest,2,2,0.5431,0.0375,0.0587,0.0234,0.0127
SPAG9,Rest,2,4,0.1511,0.1962,0.1286,0.0842,0.0127
MINDY2,Rest,2,4,0.1605,0.1962,0.1172,0.0792,0.0127
RNFT1,Rest,2,4,0.1557,0.1837,0.128,0.0816,0.0127
COL9A2,Rest,2,4,0.3246,0.1038,0.0591,0.0391,0.0127
ZNF563,Rest,2,4,0.1607,0.1823,0.1225,0.0791,0.0127
CRBN,Rest,2,4,0.1536,0.1762,0.1348,0.0827,0.0127
TCF23,Rest,2,4,0.1523,0.1852,0.1317,0.0834,0.0127
PRDM11,Rest,2,4,0.1527,0.213,0.1199,0.0831,0.0127
CUL3,Rest,2,4,0.244,0.1296,0.0799,0.052,0.0127
LPCAT4,Rest,2,4,0.1638,0.2125,0.1086,0.0775,0.0127
GALNT11,Rest,2,4,0.4127,0.0817,0.047,0.0307,0.0127
ACADSB,Rest,2,4,0.162,0.2406,0.104,0.0783,0.0127
DUSP19,Rest,2,4,0.149,0.2134,0.124,0.0851,0.0127
SLC9A9,Rest,2,4,0.3045,0.1314,0.0574,0.0416,0.0127
FAXDC2,Rest,2,4,0.1638,0.208,0.1096,0.0773,0.0127
MAL,Rest,2,4,0.1477,0.2057,0.1282,0.0857,0.0127
CD3D,Rest,2,4,0.2638,0.1149,0.0762,0.048,0.0127
CSF1R,Rest,2,4,0.1567,0.1503,0.1488,0.0808,0.0127
PRKCD,Rest,2,4,0.1571,0.1896,0.1227,0.0805,0.0126
GNB4,Rest,2,4,0.1619,0.1884,0.1176,0.0781,0.0126
RPP21,Rest,2,3,0.7899,0.0179,0.1297,0.016,0.0126
NFKB1,Rest,2,4,0.3639,0.1037,0.0495,0.0347,0.0126
BHLHE23,Rest,2,4,0.1455,0.1954,0.1347,0.0866,0.0126
TMCC2,Rest,2,4,0.1523,0.1909,0.1273,0.0827,0.0126
TULP4,Rest,2,4,0.1576,0.1952,0.1191,0.0799,0.0126
EXOC7,Rest,2,4,0.5358,0.027,0.1528,0.0235,0.0126
PPM1D,Rest,2,4,0.1828,0.1747,0.102,0.0688,0.0126
CAMSAP2,Rest,2,4,0.1564,0.2085,0.1157,0.0804,0.0126
ENTREP3,Rest,2,4,0.1681,0.1523,0.1282,0.0748,0.0126
PPP1R7,Rest,2,4,0.1738,0.1689,0.1123,0.0723,0.0126
SPSB2,Rest,2,4,0.1598,0.1964,0.1159,0.0786,0.0126
ARMH3,Rest,2,4,0.3422,0.0758,0.0665,0.0367,0.0126
WASL,Rest,2,4,0.1522,0.1899,0.1274,0.0825,0.0126
UQCRQ,Rest,2,4,0.2836,0.093,0.078,0.0443,0.0126
KIAA0408,Rest,2,4,0.162,0.1613,0.1299,0.0775,0.0126
MGAT1,Rest,2,4,0.1615,0.2305,0.105,0.0778,0.0126
GAB3,Rest,2,4,0.1578,0.2193,0.111,0.0795,0.0126
RENBP,Rest,2,4,0.1597,0.2073,0.1123,0.0786,0.0126
ENDOV,Rest,2,4,0.1645,0.1695,0.1217,0.0762,0.0125
DYSF,Rest,2,4,0.1467,0.1954,0.1319,0.0855,0.0125
AMOT,Rest,2,4,0.1638,0.1824,0.1165,0.0765,0.0125
DBX2,Rest,2,4,0.1542,0.2288,0.1118,0.0812,0.0125
IFT70B,Rest,2,4,0.1573,0.1925,0.1194,0.0796,0.0125
PIGH,Rest,2,4,0.4172,0.0767,0.0469,0.03,0.0125
SETD6,Rest,2,4,0.189,0.1506,0.1055,0.0662,0.0125
MRPL52,Rest,2,4,0.1618,0.1853,0.1171,0.0773,0.0125
NDUFS2,Rest,2,4,0.1576,0.2196,0.1104,0.0793,0.0125
CBS,Rest,2,4,0.1464,0.2401,0.1169,0.0853,0.0125
STX3,Rest,2,4,1.0466,0.0131,0.1202,0.0119,0.0125
KRT8,Rest,2,4,0.1627,0.2075,0.1086,0.0768,0.0125
GALNT4,Rest,2,4,0.1832,0.1575,0.1073,0.0682,0.0125
BEST1,Rest,2,4,0.4233,0.0576,0.057,0.0295,0.0125
ZNF750,Rest,2,4,0.1532,0.2305,0.1119,0.0814,0.0125
NDUFS5,Rest,2,4,0.163,0.1794,0.1178,0.0766,0.0125
SFTPA1,Rest,2,4,0.1538,0.183,0.1271,0.0811,0.0125
VAV1,Rest,2,4,0.2213,0.1271,0.0917,0.0563,0.0125
RCC1L,Rest,2,4,0.1651,0.2074,0.106,0.0754,0.0125
RTL8C,Rest,2,4,0.16,0.1691,0.126,0.0778,0.0125
RIN1,Rest,2,4,0.2882,0.0838,0.0818,0.0432,0.0124
ZNF441,Rest,2,4,0.1656,0.1618,0.1229,0.0751,0.0124
AKAP8L,Rest,2,4,0.1684,0.1704,0.1153,0.0738,0.0124
TBC1D13,Rest,2,4,0.517,0.0333,0.0795,0.024,0.0124
ANKRD36C,Rest,2,4,0.1526,0.2001,0.1208,0.0814,0.0124
IRF2,Rest,2,4,0.3471,0.0822,0.0597,0.0358,0.0124
C22orf23,Rest,2,4,0.1505,0.2134,0.1187,0.0826,0.0124
SPIN1,Rest,2,4,0.7696,0.1146,0.0184,0.0161,0.0124
POLD4,Rest,2,4,0.1608,0.161,0.1293,0.0772,0.0124
LYRM4,Rest,2,4,0.3388,0.0815,0.0625,0.0367,0.0124
MPLKIP,Rest,2,4,0.1492,0.229,0.1156,0.0832,0.0124
MTRNR2L1,Rest,2,4,0.1527,0.1798,0.1292,0.0813,0.0124
CLSTN1,Rest,2,4,0.1633,0.2061,0.1075,0.076,0.0124
ANAPC11,Rest,2,4,0.701,0.0284,0.0449,0.0177,0.0124
MAPK12,Rest,2,4,0.1602,0.1707,0.1243,0.0775,0.0124
ZC3H12D,Rest,2,4,0.1518,0.2349,0.1113,0.0817,0.0124
TRAF6,Rest,2,4,0.3115,0.0784,0.0749,0.0398,0.0124
FBXO28,Rest,2,4,0.2711,0.0878,0.0872,0.0457,0.0124
RPLP2,Rest,2,4,0.7489,0.0226,0.0583,0.0165,0.0124
QSOX1,Rest,2,4,0.1497,0.1884,0.1283,0.0826,0.0124
PPP1R15B,Rest,2,4,0.2815,0.113,0.0671,0.044,0.0124
SLC27A1,Rest,2,4,0.1706,0.1898,0.105,0.0725,0.0124
CREB3L2,Rest,2,4,0.2843,0.0872,0.0798,0.0435,0.0124
DAPK1,Rest,2,4,0.3783,0.0879,0.0494,0.0327,0.0124
GP1BA,Rest,2,4,0.1651,0.2025,0.1061,0.0748,0.0124
STK17B,Rest,2,4,0.1508,0.195,0.1237,0.0819,0.0123
SLC25A26,Rest,2,4,0.1589,0.1764,0.1217,0.0776,0.0123
RNF111,Rest,2,4,0.2571,0.0983,0.0857,0.048,0.0123
RAB36,Rest,2,4,0.1425,0.251,0.1165,0.0865,0.0123
MEIS1,Rest,2,4,0.1554,0.1928,0.1186,0.0793,0.0123
H3-3A,Rest,2,4,0.1581,0.187,0.1177,0.0779,0.0123
AHNAK,Rest,2,4,0.3707,0.0807,0.0534,0.0332,0.0123
RABEP2,Rest,2,4,0.152,0.1914,0.123,0.0809,0.0123
RNF146,Rest,2,4,0.1582,0.1797,0.1206,0.0778,0.0123
CEP43,Rest,2,4,0.3964,0.1338,0.0388,0.031,0.0123
MXI1,Rest,2,4,0.1509,0.1735,0.1333,0.0815,0.0123
MMP1,Rest,2,4,0.1595,0.1943,0.1133,0.0771,0.0123
PECR,Rest,2,4,0.1543,0.2134,0.1129,0.0797,0.0123
PRKACA,Rest,2,4,0.153,0.1837,0.125,0.0803,0.0123
LANCL1,Rest,2,3,0.3554,0.0757,0.0599,0.0346,0.0123
ZNF736,Rest,2,4,0.1604,0.1959,0.1118,0.0766,0.0123
CASK,Rest,2,4,0.3634,0.0794,0.0556,0.0338,0.0123
SLC25A22,Rest,2,4,0.352,0.0513,0.0984,0.0349,0.0123
ADCY3,Rest,2,4,0.1663,0.1731,0.1142,0.0739,0.0123
NCOA7,Rest,2,4,0.294,0.0966,0.0686,0.0418,0.0123
PLA2G4A,Rest,2,4,0.164,0.1942,0.1086,0.0749,0.0123
ZNF208,Rest,2,4,0.158,0.2052,0.1112,0.0777,0.0123
PAFAH1B2,Rest,2,4,0.1575,0.181,0.1205,0.078,0.0123
GAPVD1,Rest,2,4,0.1499,0.2148,0.1169,0.0819,0.0123
NPC2,Rest,2,4,0.1809,0.17,0.1015,0.0679,0.0123
RBM12B,Rest,2,4,0.1531,0.1945,0.12,0.0802,0.0123
TRRAP,Rest,2,4,0.2241,0.1229,0.0899,0.0548,0.0123
LRRFIP2,Rest,2,4,0.158,0.1885,0.1165,0.0776,0.0123
SLC66A3,Rest,2,4,0.1504,0.1915,0.1243,0.0815,0.0123
MPPE1,Rest,2,4,0.1591,0.1764,0.1204,0.0771,0.0123
SCNN1D,Rest,2,4,0.1606,0.1975,0.1105,0.0762,0.0122
NSMCE2,Rest,2,4,0.7934,0.0214,0.0525,0.0154,0.0122
GCN1,Rest,2,4,0.4433,0.0668,0.045,0.0276,0.0122
ADAMTS10,Rest,2,4,0.1569,0.1905,0.1165,0.0779,0.0122
PGAM1,Rest,2,4,0.2596,0.0946,0.0858,0.0471,0.0122
PAQR7,Rest,2,4,0.3979,0.046,0.0847,0.0307,0.0122
PATL2,Rest,2,4,0.1581,0.1784,0.12,0.0773,0.0122
OTUD3,Rest,2,4,0.1562,0.2108,0.1105,0.0782,0.0122
DPP4,Rest,2,4,0.1531,0.2483,0.1051,0.0797,0.0122
BTRC,Rest,2,3,0.2462,0.1256,0.0757,0.0496,0.0122
AIMP2,Rest,2,4,0.325,0.0687,0.0763,0.0375,0.0122
NPIPB4,Rest,2,4,0.1549,0.2093,0.1118,0.0786,0.0122
AUP1,Rest,2,4,0.1521,0.1886,0.1222,0.0801,0.0122
ABAT,Rest,2,4,0.4592,0.1207,0.0329,0.0265,0.0122
LGALSL,Rest,2,3,0.1451,0.2159,0.1205,0.0838,0.0122
ARL8A,Rest,2,4,0.1616,0.1895,0.111,0.0753,0.0122
MRPL53,Rest,2,4,0.3034,0.098,0.0636,0.0401,0.0122
TIMM8B,Rest,2,4,0.2773,0.1071,0.0691,0.0438,0.0122
COG7,Rest,2,4,0.3582,0.0711,0.061,0.0339,0.0122
IDH2,Rest,2,4,0.1586,0.2047,0.109,0.0766,0.0121
LRRC8A,Rest,2,4,0.1515,0.1661,0.1341,0.0802,0.0121
PHLPP1,Rest,2,4,0.16,0.2058,0.1073,0.0759,0.0121
RPS27L,Rest,2,4,0.262,0.0943,0.0834,0.0463,0.0121
PSMB9,Rest,2,4,0.1823,0.1767,0.0964,0.0665,0.0121
GIPR,Rest,2,4,0.162,0.1735,0.1164,0.0749,0.0121
WDR41,Rest,2,4,0.3259,0.1017,0.0554,0.0372,0.0121
KPTN,Rest,2,4,0.16,0.1905,0.1116,0.0757,0.0121
ARHGDIA,Rest,2,4,0.1601,0.1525,0.1305,0.0756,0.0121
FBXO2,Rest,2,4,0.2803,0.0826,0.0829,0.0432,0.0121
FOXF1,Rest,2,4,0.1584,0.1814,0.1166,0.0764,0.0121
YOD1,Rest,2,4,0.3515,0.051,0.0956,0.0344,0.0121
TIMM9,Rest,2,4,0.4881,0.0874,0.0334,0.0248,0.0121
CLASRP,Rest,2,4,0.3988,0.0484,0.0749,0.0303,0.0121
ACOT8,Rest,2,4,0.151,0.2321,0.1088,0.08,0.0121
ANKRD17,Rest,2,4,0.2918,0.0925,0.0698,0.0414,0.0121
NPIPA1,Rest,2,4,0.1476,0.1855,0.1277,0.0818,0.0121
ATE1,Rest,2,4,0.159,0.1906,0.1122,0.076,0.0121
CD6,Rest,2,4,0.1566,0.1925,0.1139,0.0771,0.0121
