"gene","cond","s2_T","s2_TG","s2_TD","s2_res","s2_me","s2_res_bio"
"ENSG00000011376","Stim8hr",0.0432717413265315,0.0390237814294995,0.0213663642175621,0.638810280130036,0.403516404273822,0.235293875856214
"ENSG00000011376","Stim48hr",0.0497459423291596,0.0365684687184034,0,0.780831414828147,0.535284882356916,0.245546532471231
"ENSG00000011426","Rest",0.140196908407975,0.0874069206505886,0.0348413888389581,1.26263594089878,0.966035505371844,0.296600435526941
"ENSG00000011426","Stim8hr",0.119666414993823,0.0988905004528818,0.0208716024133043,1.04206114359795,0.820704669077522,0.221356474520424
"ENSG00000011426","Stim48hr",0.0611872401796844,0.037047309629304,0.0260426766468297,0.723338488155492,0.456959111067436,0.266379377088056
"ENSG00000011478","Rest",0.0400771267192154,0.0510887806538162,0.0121700029202947,0.958116506661385,0.812003855559462,0.146112651101923
"ENSG00000011478","Stim8hr",0.0561491497009891,0.0572150461216009,0.0145469851057549,0.804067773329802,0.597207299895961,0.206860473433841
"ENSG00000011478","Stim48hr",0.0527381273882549,0.0332819724886513,0.013176590923548,0.765015763021716,0.514115182615578,0.250900580406137
"ENSG00000011485","Rest",0.058020119091252,0.043859444522529,0.0252384000823656,0.913787631419336,0.694845963569579,0.218941667849757
"ENSG00000011485","Stim8hr",0.0319213769470935,0.0304052454510214,0.017656139620642,0.511837161845732,0.288068462432025,0.223768699413708
"ENSG00000011485","Stim48hr",0.0476375533934514,0.0331352761235342,0.0141233850030386,0.730264620085943,0.561052244926715,0.169212375159228
"ENSG00000012048","Rest",0.086466007230539,0.0540625779883162,0.0379465510574393,1.04904738569766,0.785092368790763,0.263955016906901
"ENSG00000012048","Stim8hr",0.0928769117159846,0.061589168384652,0.0220067326534304,0.838911085369931,0.521602095520693,0.317308989849239
"ENSG00000012048","Stim48hr",0.037273665315146,0.0194974884289725,0.00987827337906818,0.581334685946354,0.357188893693263,0.224145792253091
"ENSG00000012174","Rest",0.0557529332563238,0.0452665392438456,0,0.981660083592524,0.793190234147265,0.188469849445259
"ENSG00000012174","Stim8hr",0.0394363723347513,0.0450823483497481,0.0171238598717262,0.74478640200562,0.523333231543549,0.221453170462072
"ENSG00000012174","Stim48hr",0.0504695371219093,0.0469288888159519,0.0178069634688325,0.807069068720747,0.631725040254047,0.1753440284667
"ENSG00000012211","Rest",0.0545723449211204,0.0552101879678597,0.0117081576315439,0.952956796036568,0.766705223349623,0.186251572686946
"ENSG00000012211","Stim8hr",0.062788043606922,0.0442798762080168,0,0.804923787288334,0.63001550611831,0.174908281170024
"ENSG00000012211","Stim48hr",0.0427380465382547,0.03565255407612,0.020260846415929,0.808902837087647,0.581923686222335,0.226979150865312
"ENSG00000012232","Rest",0.0535997305238338,0.0474402582154976,0,0.963808887674598,0.73241370138238,0.231395186292218
"ENSG00000012232","Stim8hr",0.0499266717933659,0.0439232242965334,0.0196749567859338,0.661762880806387,0.415591005411899,0.246171875394488
"ENSG00000012232","Stim48hr",0.0555290094930374,0.0334278409901262,0.0130209007027354,0.802179283010732,0.582910321772594,0.219268961238138
"ENSG00000013375","Rest",0.0515847126851502,0.0556461200268028,0,0.967771167997842,0.754328527014303,0.213442640983539
"ENSG00000013375","Stim8hr",0.0584558041242792,0.0488383673259204,0.0190191484013744,0.798040147869093,0.592718057235614,0.205322090633479
"ENSG00000013375","Stim48hr",0.0545015634469412,0.0450646015391051,0.0115247998784249,0.780027039812872,0.565213734831284,0.214813304981588
"ENSG00000013503","Rest",0.0555524185571396,0.0473319827081468,0.0125381440447277,0.987240831174091,0.780862436046857,0.206378395127234
"ENSG00000013503","Stim8hr",0.0534514144412843,0.0346867021779205,0.00763485297910988,0.685127573437065,0.423583186088441,0.261544387348625
"ENSG00000013503","Stim48hr",0.0638927292695746,0.0434534822163796,0.0223283441398909,0.81557054153531,0.642457331977561,0.173113209557749
"ENSG00000013563","Rest",0.0539458343994592,0.0485598524036449,0.0253540633915661,0.879234481894871,0.610772584742758,0.268461897152113
"ENSG00000013563","Stim8hr",0.0630666155701418,0.0444304081707087,0.0114537523702761,0.833427168805901,0.653414077485455,0.180013091320447
"ENSG00000013563","Stim48hr",0.0418974916103331,0.0400627145324869,0.0183566531873455,0.890331069634479,0.650050825322236,0.240280244312243
"ENSG00000013810","Rest",0.0534475270872397,0.0318135833498144,0,0.701618520328366,0.507625622445415,0.193992897882951
"ENSG00000013810","Stim8hr",0.092290504248529,0.0545828444889332,0.0262807038875616,0.677499212992233,0.370094632685052,0.307404580307181
"ENSG00000013810","Stim48hr",0.0159209554308282,0.00890946959232725,0.00908218135387746,0.363767489097695,0.202063622775048,0.161703866322647
"ENSG00000014123","Rest",0.0555443439637275,0.048720547391782,0.0295182809200493,0.906795295858322,0.651627510802519,0.255167785055803
"ENSG00000014123","Stim8hr",0.0569969930025048,0.0455109980084582,0,0.771464578144595,0.564152192364637,0.207312385779958
"ENSG00000014123","Stim48hr",0.0553385610005617,0.0304935740656761,0.0108289393059913,0.775615168351656,0.559939748145628,0.215675420206028
"ENSG00000014138","Rest",0.0681160900053692,0.0523769315734443,0.0246614579089806,0.904563179836523,0.660939584065888,0.243623595770635
"ENSG00000014138","Stim8hr",0.0681656091259915,0.0305956700919002,0.00636331356350031,0.66283572052608,0.361896632843714,0.300939087682366
"ENSG00000014138","Stim48hr",0.0229761660300286,0.0244544784052573,0.0136368295051044,0.532014234829608,0.291644461372019,0.240369773457589
"ENSG00000014641","Rest",0.0508752254210047,0.0431145116069633,0.0183484220598106,0.770340821568304,0.548917715110227,0.221423106458077
"ENSG00000014641","Stim8hr",0.0528816159123754,0.0343059903271254,0.0162257279402021,0.609553622419618,0.297889880070403,0.311663742349215
"ENSG00000014641","Stim48hr",0.0378009862709035,0.0161666377375331,0.014810884447227,0.547065168014823,0.324609961514353,0.22245520650047
"ENSG00000015475","Rest",0.0674975450280625,0.0495956455825579,0.026778798659284,0.84111820440004,0.602275732147089,0.238842472252951
