gene,s2_T,s2_TG,s2_TD,s2_res_raw,s2_me,s2_res_bio,share_T,share_TG,share_TD,share_res
ENSG00000146242,5.28055221897282e-07,3.16545722039794e-10,0.0,0.00416773780963004,0.006141,0.0,0.9994,0.0006,0.0,0.0
ENSG00000146243,0.0387522107561539,0.0695793059262806,0.0635585159999938,0.789762440814215,0.742057,0.047705,0.17647,0.31685,0.28944,0.21724
ENSG00000146247,0.033745036395154,0.0473919849993899,0.0431426120383164,0.557146428731033,0.374209,0.182937,0.10984,0.15426,0.14043,0.59547
ENSG00000146250,1.28827719537057e-08,0.0,0.0,0.000574023322214625,0.000862,0.0,1.0,0.0,0.0,0.0
ENSG00000146263,0.0638452616259889,0.0754555062585666,0.0652796603293766,0.680988345184223,0.468007,0.212982,0.1529,0.1807,0.15634,0.51006
ENSG00000146267,2.45741860797605e-10,0.0298103774636629,0.0461676767921812,0.430938633628542,0.493042,0.0,0.0,0.39236,0.60764,0.0
ENSG00000146276,0.0,2.79453505220346e-06,0.0,0.00188507306349345,0.001769,0.000116,0.0,0.02349,0.0,0.97651
ENSG00000146278,0.00296875944237975,0.0312516206315944,0.0265086933252967,0.54705205836572,0.413077,0.133975,0.01525,0.16051,0.13615,0.6881
ENSG00000146281,0.0567319556268757,0.0829584925323769,0.0860417226610095,0.844403550578193,0.72064,0.123763,0.16233,0.23737,0.24619,0.35412
ENSG00000146282,0.0468908927173231,0.061953989948095,0.0530653481452944,0.666619836134846,0.502178,0.164442,0.14368,0.18984,0.1626,0.50388
ENSG00000146285,0.00483475735277269,0.0202698588772907,0.0151527304032375,0.509598147011582,0.485762,0.023836,0.07543,0.31625,0.23641,0.3719
ENSG00000146350,0.0191940659397391,0.0483943969907678,0.0418066373153928,0.699662272225541,0.655616,0.044046,0.12509,0.31539,0.27246,0.28706
ENSG00000146352,0.0,9.92313131750753e-14,0.0,0.000377207133790937,0.000762,0.0,0.0,1.0,0.0,0.0
ENSG00000146360,4.7968610519887e-07,0.0,2.57656650546296e-06,0.000625131436592736,0.000226,0.000399,0.00119,0.0,0.00641,0.99239
ENSG00000146373,3.77898135409899e-11,0.0080670466813138,0.017430287818854,0.198852481082322,0.19951,0.0,0.0,0.31639,0.68361,0.0
ENSG00000146374,2.84937040474908e-07,8.89665669924013e-14,1.50836712403883e-06,0.00026961673103385,2e-05,0.00025,0.00113,0.0,0.00599,0.99288
ENSG00000146376,0.05709402594935,0.0890311238297892,0.0794533842474822,0.803030926086686,0.67175,0.13128,0.15999,0.24949,0.22265,0.36788
ENSG00000146378,0.0,3.07794217128048e-13,2.20275594503333e-06,0.000389031626181301,9.8e-05,0.000292,0.0,0.0,0.0075,0.9925
ENSG00000146383,0.0,3.49982515337631e-08,0.0,0.000655878486967417,0.001064,0.0,0.0,1.0,0.0,0.0
ENSG00000146385,1.37772597540741e-15,8.48000261918825e-07,0.0,0.000554868906375567,0.000357,0.000198,0.0,0.00426,0.0,0.99574
ENSG00000146386,0.00947953858982404,0.0115977777966972,0.0138627744410872,0.165623037742337,0.076868,0.088755,0.07664,0.09376,0.11207,0.71753
ENSG00000146399,9.45348921962103e-14,2.92089065403696e-07,0.0,0.000793667469039768,0.000485,0.000309,0.0,0.00095,0.0,0.99905
ENSG00000146409,0.0549035241160273,0.0867656805482283,0.0735860861405118,0.795727314526529,0.7204,0.075327,0.18894,0.29859,0.25324,0.25923
ENSG00000146410,0.103503320893551,0.114094832756279,0.0976050237985785,0.781641745705447,0.621914,0.159728,0.21793,0.24023,0.20551,0.33632
ENSG00000146411,6.86398946963931e-05,0.000202798054319666,0.000142215909080877,0.0587769647658941,0.058627,0.00015,0.12182,0.35992,0.2524,0.26586
ENSG00000146414,0.0423747285158604,0.0577788652349797,0.0509111737665437,0.692692101028234,0.485439,0.207253,0.11826,0.16125,0.14208,0.57841
ENSG00000146416,0.0354721070051724,0.0653392808106055,0.0623500331607343,0.792767872415657,0.690076,0.102692,0.13343,0.24577,0.23453,0.38627
ENSG00000146425,0.00734252229449227,0.0116130580437695,0.0132218712380194,0.340367287531183,0.197684,0.142684,0.04199,0.06641,0.07561,0.81598
ENSG00000146426,0.0216197261286235,0.0559720758698128,0.0571903397300843,0.795111531797602,0.695551,0.099561,0.09226,0.23885,0.24405,0.42485
ENSG00000146433,0.0270257921958746,0.0451299467363504,0.045566373872035,0.568994287491122,0.402905,0.166089,0.09522,0.15901,0.16055,0.58521
ENSG00000146453,0.0,0.0126005673836837,0.0242436756341238,0.295927417917417,0.325589,0.0,0.0,0.342,0.658,0.0
ENSG00000146457,0.0370701237166336,0.0486195242447596,0.040902527739929,0.596971157558776,0.424624,0.172348,0.12401,0.16264,0.13683,0.57653
ENSG00000146463,0.0319243759985019,0.0513064003057581,0.040784617789801,0.616776049443048,0.437149,0.179627,0.10514,0.16897,0.13432,0.59157
ENSG00000146469,0.0,0.0,0.0,0.000402600653314779,0.000386,1.6e-05,0.0,0.0,0.0,1.0
ENSG00000146476,0.0584287916198346,0.0719034516024688,0.0627724656755378,0.640110251866828,0.445463,0.194647,0.15069,0.18544,0.16189,0.50199
ENSG00000146477,0.0,6.82355724045644e-06,0.0,0.00405510124127681,0.00377,0.000285,0.0,0.02335,0.0,0.97665
ENSG00000146530,3.52874950631802e-15,0.0173711758390286,0.0313565019497914,0.417365073013366,0.401309,0.016056,0.0,0.26814,0.48401,0.24785
ENSG00000146535,0.0384737001428421,0.0608100868198141,0.0501614778878087,0.75213483148265,0.66583,0.086305,0.1632,0.25794,0.21277,0.36609
ENSG00000146540,0.0442310881711155,0.0524665266788802,0.052917190250423,0.631778256601932,0.444917,0.186861,0.13145,0.15593,0.15727,0.55535
ENSG00000146555,2.84708566458453e-05,7.33062478748378e-05,0.0,0.0206569802431927,0.017081,0.003576,0.00774,0.01993,0.0,0.97232
ENSG00000146576,0.0186662538840177,0.0306841534498448,0.0304520151398881,0.495244458015942,0.309697,0.185547,0.07035,0.11564,0.11476,0.69926
ENSG00000146587,0.0402229934264874,0.0580608555685632,0.0507269066143455,0.664708808320273,0.483537,0.181171,0.12182,0.17584,0.15363,0.5487
ENSG00000146592,4.19155670684279e-05,0.000128160596566393,0.000116592087582186,0.0174270064843609,0.015893,0.001534,0.02302,0.07038,0.06402,0.84258
ENSG00000146618,4.94337208079477e-07,3.11280634588748e-13,3.1908044918168e-06,0.00112430729395155,0.000584,0.00054,0.00091,0.0,0.00587,0.99322
ENSG00000146648,0.0,5.24245716767721e-12,0.0,0.00284680027709416,0.003124,0.0,0.0,1.0,0.0,0.0
ENSG00000146670,0.112750845810553,0.114770279994592,0.101466975303021,0.843180065531086,0.634341,0.208839,0.20964,0.2134,0.18866,0.3883
ENSG00000146674,8.60230992681911e-16,0.0645376666423259,0.111458649369582,0.76541295454172,0.866679,0.0,0.0,0.3667,0.6333,0.0
ENSG00000146676,0.00988801152934648,0.0273970517553075,0.0260599375678336,0.496861608181448,0.345328,0.151533,0.04602,0.1275,0.12128,0.70521
ENSG00000146678,0.0,2.40915446593551e-06,1.48115580634549e-05,0.00261799037144802,0.001897,0.000721,0.0,0.00327,0.02007,0.97666
ENSG00000146700,0.000748614997275877,0.00289620565361457,0.00228458448940926,0.188846392052886,0.181947,0.0069,0.05835,0.22575,0.17808,0.53782
ENSG00000146701,0.0314432923020722,0.0467751069698815,0.0460733270551674,0.618063571386226,0.464063,0.154,0.11299,0.16808,0.16556,0.55338
ENSG00000146729,0.0488731278707248,0.0576935031791885,0.0498961721051596,0.617814256697698,0.434153,0.183661,0.14369,0.16962,0.1467,0.53998
ENSG00000146731,0.00831001098068448,0.0120236853308492,0.0126434607784163,0.259468749318451,0.145572,0.113896,0.05658,0.08186,0.08608,0.77547
ENSG00000146733,0.0437769677742204,0.0568808464094653,0.0593358030800559,0.640394761217449,0.44906,0.191335,0.1246,0.1619,0.16889,0.5446
ENSG00000146755,0.0,4.01279690357492e-06,4.22552911440887e-06,0.00123859223147938,0.000957,0.000281,0.0,0.01386,0.01459,0.97155
ENSG00000146757,0.0564947461021484,0.0710024431964595,0.0612684598389598,0.68331106548801,0.509553,0.173758,0.15584,0.19586,0.16901,0.4793
ENSG00000146776,0.0458347074680178,0.0984670918431401,0.0821233418702095,0.789894787576581,0.723294,0.066601,0.15642,0.33604,0.28026,0.22729
ENSG00000146802,0.0216763239247435,0.0464125155700021,0.0434431703157777,0.662232659251167,0.465834,0.196398,0.07039,0.15072,0.14108,0.6378
ENSG00000146809,4.90593719591904e-05,0.00147964546729811,1.67295973808491e-05,0.000225929920314251,0.000299,0.0,0.03174,0.95743,0.01083,0.0
ENSG00000146828,0.0555055424519792,0.0673552136738112,0.0586597778569929,0.698082556074981,0.498499,0.199584,0.14564,0.17674,0.15392,0.5237
ENSG00000146830,0.0284141874546956,0.0513382525641793,0.0465124843508755,0.643157844871403,0.447165,0.195993,0.08817,0.15931,0.14433,0.60819
ENSG00000146833,0.0281296455926116,0.0568110352672071,0.052767090934608,0.68237555577864,0.522334,0.160042,0.09447,0.1908,0.17722,0.5375
ENSG00000146834,0.0198920488634547,0.0308455590680623,0.0314592074754289,0.492664074141932,0.321087,0.171577,0.07838,0.12155,0.12397,0.6761
ENSG00000146839,0.0,1.18625461137374e-06,4.87972156939264e-06,0.000266851107556173,0.000193,7.3e-05,0.0,0.01491,0.06133,0.92376
ENSG00000146842,0.0413135624776471,0.0596459471805617,0.0560065178440391,0.636350523171063,0.463928,0.172422,0.12543,0.18108,0.17003,0.52346
ENSG00000146856,3.20526839377874e-05,0.000410767417586781,0.0,0.0711623981784798,0.07139,0.0,0.07238,0.92762,0.0,0.0
ENSG00000146857,4.06266311699252e-06,0.0,0.0,0.00396400442886298,0.005014,0.0,1.0,0.0,0.0,0.0
ENSG00000146858,0.0553686294064868,0.0781522155955841,0.065789656091327,0.757556382593401,0.635529,0.122027,0.17231,0.24321,0.20474,0.37975
ENSG00000146859,0.0248526417897523,0.0744990020178655,0.055045742220252,0.828147417192215,0.670699,0.157449,0.0797,0.2389,0.17652,0.50489
ENSG00000146872,0.0537805167996905,0.0806041990098302,0.0672904463376246,0.772672763170066,0.642291,0.130382,0.16196,0.24274,0.20265,0.39265
ENSG00000146904,0.00065978705253443,0.00117516232156495,0.00133585158440164,0.121506910505518,0.116756,0.004751,0.08329,0.14835,0.16863,0.59973
ENSG00000146909,0.0423579684756116,0.0561623292542437,0.0501044365220049,0.668067826340448,0.50761,0.160458,0.13704,0.18171,0.16211,0.51914
ENSG00000146918,0.0888652623463852,0.0869452807519431,0.0783989442378544,0.725275700982222,0.546146,0.179129,0.20507,0.20064,0.18092,0.41337
